Country,Impressions,Gender
Canada,160000000,male results
United Kingdom,160000000,male results
United States,1700000000,male results
Canada,210000000,female results
United Kingdom,120000000,female results
United States,2300000000,female results
Canada,380000000,female and male results
United Kingdom,270000000,female and male results
United States,4000000000,female and male results
Canada,340000000,unknown gender
United Kingdom,320000000,unknown gender
United States,3700000000,unknown gender
