Country,Impressions,Gender
Canada,130000000,male results
United Kingdom,350000000,male results
United States,1800000000,male results
Canada,320000000,female results
United Kingdom,700000000,female results
United States,4400000000,female results
Canada,450000000,female and male results
United Kingdom,1000000000,female and male results
United States,6300000000,female and male results
Canada,420000000,unknown gender
United Kingdom,890000000,unknown gender
United States,4900000000,unknown gender
