Country,Impressions,Gender
Canada,270000000,male results
United Kingdom,560000000,male results
United States,3500000000,male results
Canada,200000000,female results
United Kingdom,300000000,female results
United States,2300000000,female results
Canada,470000000,female and male results
United Kingdom,860000000,female and male results
United States,5800000000,female and male results
Canada,420000000,unknown gender
United Kingdom,830000000,unknown gender
United States,5100000000,unknown gender
