Country,Impressions,Gender
Canada,88000000,male results
United Kingdom,190000000,male results
United States,1500000000,male results
Canada,110000000,female results
United Kingdom,270000000,female results
United States,2100000000,female results
Canada,200000000,female and male results
United Kingdom,460000000,female and male results
United States,3700000000,female and male results
Canada,6300000,unknown gender
United Kingdom,18000000,unknown gender
United States,130000000,unknown gender
