Country,Impressions,Gender
Canada,770000000,male results
United Kingdom,2200000000,male results
United States,8800000000,male results
Canada,1200000000,female results
United Kingdom,2800000000,female results
United States,13000000000,female results
Canada,2000000000,female and male results
United Kingdom,5000000000,female and male results
United States,22000000000,female and male results
Canada,3300000000,unknown gender
United Kingdom,7700000000,unknown gender
United States,31000000000,unknown gender
