Country,Impressions,Status
Canada,400000000,male results
United Kingdom,550000000,male results
United States,3900000000,male results
Canada,910000000,female results
United Kingdom,1100000000,female results
United States,8700000000,female results
Canada,1300000000,female and male results
United Kingdom,1600000000,female and male results
United States,13000000000,female and male results
Canada,2500000000,unknown gender
United Kingdom,3500000000,unknown gender
United States,24000000000,unknown gender
