Country,Impressions,Status
Canada,2200000000,male results
United Kingdom,1800000000,male results
United States,10000000000,male results
Canada,1700000000,female results
United Kingdom,930000000,female results
United States,6500000000,female results
Canada,3900000000,female and male results
United Kingdom,2800000000,female and male results
United States,17000000000,female and male results
Canada,3700000000,unknown gender
United Kingdom,5500000000,unknown gender
United States,18000000000,unknown gender
