Country,Impressions,Gender
Canada,470000000,male results
United Kingdom,690000000,male results
United States,3300000000,male results
Canada,240000000,female results
United Kingdom,340000000,female results
United States,1700000000,female results
Canada,710000000,female and male results
United Kingdom,1000000000,female and male results
United States,5000000000,female and male results
Canada,950000000,unknown gender
United Kingdom,1400000000,unknown gender
United States,6700000000,unknown gender
