Country,Impressions,Status
Canada,120000000,male results
United Kingdom,370000000,male results
United States,1500000000,male results
Canada,350000000,female results
United Kingdom,1100000000,female results
United States,3800000000,female results
Canada,470000000,female and male results
United Kingdom,1400000000,female and male results
United States,5300000000,female and male results
Canada,560000000,unknown gender
United Kingdom,2200000000,unknown gender
United States,5600000000,unknown gender
