Country,Impressions,Status
Canada,750000000,male results
United Kingdom,710000000,male results
United States,4000000000,male results
Canada,720000000,female results
United Kingdom,410000000,female results
United States,2600000000,female results
Canada,1500000000,female and male results
United Kingdom,1100000000,female and male results
United States,6600000000,female and male results
Canada,2800000000,unknown gender
United Kingdom,1600000000,unknown gender
United States,7900000000,unknown gender
