Country,Impressions,Gender
Canada,820000000,male results
United Kingdom,1700000000,male results
United States,4000000000,male results
Canada,1100000000,female results
United Kingdom,1900000000,female results
United States,5100000000,female results
Canada,1900000000,female and male results
United Kingdom,3600000000,female and male results
United States,9200000000,female and male results
Canada,3300000000,unknown gender
United Kingdom,6200000000,unknown gender
United States,14000000000,unknown gender
