Country,Impressions,Gender
Canada,660000000,male results
United Kingdom,650000000,male results
United States,7300000000,male results
Canada,1200000000,female results
United Kingdom,970000000,female results
United States,12000000000,female results
Canada,1800000000,female and male results
United Kingdom,1600000000,female and male results
United States,19000000000,female and male results
Canada,3000000000,unknown gender
United Kingdom,2600000000,unknown gender
United States,34000000000,unknown gender
