Country,Impressions,V3,Gender
Canada,240000000,"b'{\1\"":{\""2\"":{\""1\"":\""2083\"",\""2\"":\""1\""}},\""2\"":[{\""1\"":[{\""2\"":[6,3,4]}],\""2\"":{\""8\"":\""240000000\""},\""3\"":[14,9],\""5\"":[{\""8\"":\""240000000\"",\""10\"":{\""1\"":-1.0,\""2\"":-1.0},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":-1.0,\""2\"":-1.0},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":-1.0,\""15\"":\""-1\"",\""16\"":-2},{\""8\"":\""240000000\"",\""10\"":{\""1\"":1.0,\""2\"":1.0},\""11\"":{\""1\"":1.0,\""2\"":1.0},\""12\"":{\""1\"":0.0,\""2\"":0.0},\""13\"":{\""1\"":0.0,\""2\"":0.0},\""14\"":1.0,\""15\"":\""0\"",\""16\"":-1},{\""8\"":\""240000000\"",\""10\"":{\""1\"":1.0,\""2\"":1.401172},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":0.0,\""2\"":9.4438366E7},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.017159995836303,\""15\"":\""4000000\"",\""16\"":0},{\""8\"":\""360000000\"",\""10\"":{\""1\"":1.090229,\""2\"":4.539141},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":2.1240463E7,\""2\"":8.33135649E8},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.5147649991986616,\""15\"":\""120000000\"",\""16\"":1},{\""8\"":\""440000000\"",\""10\"":{\""1\"":1.172402,\""2\"":6.918292},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":4.0584495E7,\""2\"":1.393202488E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.8686149975946256,\""15\"":\""200000000\"",\""16\"":2},{\""8\"":\""600000000\"",\""10\"":{\""1\"":1.283615,\""2\"":10.44113},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":6.6764722E7,\""2\"":2.22250031E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":2.53324499863589,\""15\"":\""360000000\"",\""16\"":3},{\""8\"":\""820000000\"",\""10\"":{\""1\"":1.462322,\""2\"":16.45511},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":1.08833454E8,\""2\"":3.638228344E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":3.474214996806201,\""15\"":\""580000000\"",\""16\"":4}]}]}'""",male results
United Kingdom,300000000,"b'{\1\"":{\""2\"":{\""1\"":\""1672\"",\""2\"":\""1\""}},\""2\"":[{\""1\"":[{\""2\"":[6,3,4]}],\""2\"":{\""8\"":\""300000000\""},\""3\"":[14,9],\""5\"":[{\""8\"":\""300000000\"",\""10\"":{\""1\"":-1.0,\""2\"":-1.0},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":-1.0,\""2\"":-1.0},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":-1.0,\""15\"":\""-1\"",\""16\"":-2},{\""8\"":\""300000000\"",\""10\"":{\""1\"":1.0,\""2\"":1.0},\""11\"":{\""1\"":1.0,\""2\"":1.0},\""12\"":{\""1\"":0.0,\""2\"":0.0},\""13\"":{\""1\"":0.0,\""2\"":0.0},\""14\"":1.0,\""15\"":\""0\"",\""16\"":-1},{\""8\"":\""300000000\"",\""10\"":{\""1\"":1.0,\""2\"":1.401172},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":0.0,\""2\"":1.20006399E8},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.0171599994544351,\""15\"":\""5100000\"",\""16\"":0},{\""8\"":\""450000000\"",\""10\"":{\""1\"":1.090229,\""2\"":4.539141},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":2.6991059E7,\""2\"":1.058696939E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.5147649999572106,\""15\"":\""150000000\"",\""16\"":1},{\""8\"":\""560000000\"",\""10\"":{\""1\"":1.172402,\""2\"":6.918292},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":5.1572251E7,\""2\"":1.770395028E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.8686149994490866,\""15\"":\""260000000\"",\""16\"":2},{\""8\"":\""760000000\"",\""10\"":{\""1\"":1.283615,\""2\"":10.44113},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":8.4840454E7,\""2\"":2.824215096E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":2.5332449988553836,\""15\"":\""460000000\"",\""16\"":3},{\""8\"":\""1000000000\"",\""10\"":{\""1\"":1.462322,\""2\"":16.45511},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":1.38298781E8,\""2\"":4.623234186E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":3.474214998406095,\""15\"":\""740000000\"",\""16\"":4}]}]}'""",male results
United States,2100000000,"b'{\1\"":{\""2\"":{\""1\"":\""2968\"",\""2\"":\""1\""}},\""2\"":[{\""1\"":[{\""2\"":[6,3,4]}],\""2\"":{\""8\"":\""2100000000\""},\""3\"":[14,9],\""5\"":[{\""8\"":\""2100000000\"",\""10\"":{\""1\"":-1.0,\""2\"":-1.0},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":-1.0,\""2\"":-1.0},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":-1.0,\""15\"":\""-1\"",\""16\"":-2},{\""8\"":\""2100000000\"",\""10\"":{\""1\"":1.0,\""2\"":1.0},\""11\"":{\""1\"":1.0,\""2\"":1.0},\""12\"":{\""1\"":0.0,\""2\"":0.0},\""13\"":{\""1\"":0.0,\""2\"":0.0},\""14\"":1.0,\""15\"":\""0\"",\""16\"":-1},{\""8\"":\""2100000000\"",\""10\"":{\""1\"":1.0,\""2\"":1.401172},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":0.0,\""2\"":8.47066526E8},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.017159999853752,\""15\"":\""36000000\"",\""16\"":0},{\""8\"":\""3200000000\"",\""10\"":{\""1\"":1.090229,\""2\"":4.539141},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":1.905167E8,\""2\"":7.472824306E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.5147649997749446,\""15\"":\""1100000000\"",\""16\"":1},{\""8\"":\""3900000000\"",\""10\"":{\""1\"":1.172402,\""2\"":6.918292},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":3.64023319E8,\""2\"":1.2496353298E10},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.86861499988482,\""15\"":\""1800000000\"",\""16\"":2},{\""8\"":\""5300000000\"",\""10\"":{\""1\"":1.283615,\""2\"":10.44113},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":5.98847309E8,\""2\"":1.9934754151E10},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":2.5332449995445847,\""15\"":\""3200000000\"",\""16\"":3},{\""8\"":\""7300000000\"",\""10\"":{\""1\"":1.462322,\""2\"":16.45511},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":9.76183508E8,\""2\"":3.2633150717E10},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":3.474214999786311,\""15\"":\""5200000000\"",\""16\"":4}]}]}'""",male results
Canada,650000000,"b'{\1\"":{\""2\"":{\""1\"":\""2136\"",\""2\"":\""1\""}},\""2\"":[{\""1\"":[{\""2\"":[6,3,4]}],\""2\"":{\""8\"":\""650000000\""},\""3\"":[14,9],\""5\"":[{\""8\"":\""650000000\"",\""10\"":{\""1\"":-1.0,\""2\"":-1.0},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":-1.0,\""2\"":-1.0},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":-1.0,\""15\"":\""-1\"",\""16\"":-2},{\""8\"":\""650000000\"",\""10\"":{\""1\"":1.0,\""2\"":1.0},\""11\"":{\""1\"":1.0,\""2\"":1.0},\""12\"":{\""1\"":0.0,\""2\"":0.0},\""13\"":{\""1\"":0.0,\""2\"":0.0},\""14\"":1.0,\""15\"":\""0\"",\""16\"":-1},{\""8\"":\""660000000\"",\""10\"":{\""1\"":1.0,\""2\"":1.401172},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":0.0,\""2\"":2.61720196E8},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.017159999842548,\""15\"":\""11000000\"",\""16\"":0},{\""8\"":\""990000000\"",\""10\"":{\""1\"":1.090229,\""2\"":4.539141},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":5.8864406E7,\""2\"":2.308896629E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.5147649992843533,\""15\"":\""340000000\"",\""16\"":1},{\""8\"":\""1200000000\"",\""10\"":{\""1\"":1.172402,\""2\"":6.918292},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":1.12473166E8,\""2\"":3.861028552E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.8686149995614887,\""15\"":\""570000000\"",\""16\"":2},{\""8\"":\""1700000000\"",\""10\"":{\""1\"":1.283615,\""2\"":10.44113},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":1.85027303E8,\""2\"":6.159289284E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":2.5332449999401585,\""15\"":\""1000000000\"",\""16\"":3},{\""8\"":\""2300000000\"",\""10\"":{\""1\"":1.462322,\""2\"":16.45511},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":3.01613783E8,\""2\"":1.0082743634E10},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":3.4742149987104627,\""15\"":\""1600000000\"",\""16\"":4}]}]}'""",female results
United Kingdom,650000000,"b'{\1\"":{\""2\"":{\""1\"":\""1922\"",\""2\"":\""1\""}},\""2\"":[{\""1\"":[{\""2\"":[6,3,4]}],\""2\"":{\""8\"":\""650000000\""},\""3\"":[14,9],\""5\"":[{\""8\"":\""650000000\"",\""10\"":{\""1\"":-1.0,\""2\"":-1.0},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":-1.0,\""2\"":-1.0},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":-1.0,\""15\"":\""-1\"",\""16\"":-2},{\""8\"":\""650000000\"",\""10\"":{\""1\"":1.0,\""2\"":1.0},\""11\"":{\""1\"":1.0,\""2\"":1.0},\""12\"":{\""1\"":0.0,\""2\"":0.0},\""13\"":{\""1\"":0.0,\""2\"":0.0},\""14\"":1.0,\""15\"":\""0\"",\""16\"":-1},{\""8\"":\""660000000\"",\""10\"":{\""1\"":1.0,\""2\"":1.401172},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":0.0,\""2\"":2.61047742E8},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.0171599998480436,\""15\"":\""11000000\"",\""16\"":0},{\""8\"":\""990000000\"",\""10\"":{\""1\"":1.090229,\""2\"":4.539141},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":5.8713162E7,\""2\"":2.302964236E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.5147649999700021,\""15\"":\""330000000\"",\""16\"":1},{\""8\"":\""1200000000\"",\""10\"":{\""1\"":1.172402,\""2\"":6.918292},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":1.12184182E8,\""2\"":3.851108169E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.8686149984996145,\""15\"":\""570000000\"",\""16\"":2},{\""8\"":\""1600000000\"",\""10\"":{\""1\"":1.283615,\""2\"":10.44113},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":1.84551901E8,\""2\"":6.143463835E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":2.5332449985060075,\""15\"":\""1000000000\"",\""16\"":3},{\""8\"":\""2300000000\"",\""10\"":{\""1\"":1.462322,\""2\"":16.45511},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":3.00838828E8,\""2\"":1.0056837407E10},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":3.4742149995741287,\""15\"":\""1600000000\"",\""16\"":4}]}]}'""",female results
United States,5600000000,"b'{\1\"":{\""2\"":{\""1\"":\""2936\"",\""2\"":\""1\""}},\""2\"":[{\""1\"":[{\""2\"":[6,3,4]}],\""2\"":{\""8\"":\""5600000000\""},\""3\"":[14,9],\""5\"":[{\""8\"":\""5600000000\"",\""10\"":{\""1\"":-1.0,\""2\"":-1.0},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":-1.0,\""2\"":-1.0},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":-1.0,\""15\"":\""-1\"",\""16\"":-2},{\""8\"":\""5600000000\"",\""10\"":{\""1\"":1.0,\""2\"":1.0},\""11\"":{\""1\"":1.0,\""2\"":1.0},\""12\"":{\""1\"":0.0,\""2\"":0.0},\""13\"":{\""1\"":0.0,\""2\"":0.0},\""14\"":1.0,\""15\"":\""0\"",\""16\"":-1},{\""8\"":\""5700000000\"",\""10\"":{\""1\"":1.0,\""2\"":1.401172},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":0.0,\""2\"":2.260467757E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.0171599998483671,\""15\"":\""97000000\"",\""16\"":0},{\""8\"":\""8500000000\"",\""10\"":{\""1\"":1.090229,\""2\"":4.539141},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":5.08409722E8,\""2\"":1.994185566E10},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.5147649999045905,\""15\"":\""2900000000\"",\""16\"":1},{\""8\"":\""11000000000\"",\""10\"":{\""1\"":1.172402,\""2\"":6.918292},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":9.71426625E8,\""2\"":3.3347562253E10},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.868614999836441,\""15\"":\""4900000000\"",\""16\"":2},{\""8\"":\""14000000000\"",\""10\"":{\""1\"":1.283615,\""2\"":10.44113},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":1.59807405E9,\""2\"":5.3197556055E10},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":2.5332449999324185,\""15\"":\""8600000000\"",\""16\"":3},{\""8\"":\""20000000000\"",\""10\"":{\""1\"":1.462322,\""2\"":16.45511},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":2.605027206E9,\""2\"":8.7084287639E10},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":3.4742149999954566,\""15\"":\""14000000000\"",\""16\"":4}]}]}'""",female results
Canada,890000000,"b'{\1\"":{\""2\"":{\""1\"":\""1347\"",\""2\"":\""1\""}},\""2\"":[{\""1\"":[{\""2\"":[6,3,4]}],\""2\"":{\""8\"":\""890000000\""},\""3\"":[14,9],\""5\"":[{\""8\"":\""890000000\"",\""10\"":{\""1\"":-1.0,\""2\"":-1.0},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":-1.0,\""2\"":-1.0},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":-1.0,\""15\"":\""-1\"",\""16\"":-2},{\""8\"":\""890000000\"",\""10\"":{\""1\"":1.0,\""2\"":1.0},\""11\"":{\""1\"":1.0,\""2\"":1.0},\""12\"":{\""1\"":0.0,\""2\"":0.0},\""13\"":{\""1\"":0.0,\""2\"":0.0},\""14\"":1.0,\""15\"":\""0\"",\""16\"":-1},{\""8\"":\""900000000\"",\""10\"":{\""1\"":1.0,\""2\"":1.401172},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":0.0,\""2\"":3.56455584E8},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.0171599999186076,\""15\"":\""15000000\"",\""16\"":0},{\""8\"":\""1300000000\"",\""10\"":{\""1\"":1.090229,\""2\"":4.539141},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":8.0171674E7,\""2\"":3.144652602E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.5147649995213697,\""15\"":\""460000000\"",\""16\"":1},{\""8\"":\""1700000000\"",\""10\"":{\""1\"":1.172402,\""2\"":6.918292},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":1.53185306E8,\""2\"":5.258612849E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.868614999436736,\""15\"":\""770000000\"",\""16\"":2},{\""8\"":\""2300000000\"",\""10\"":{\""1\"":1.283615,\""2\"":10.44113},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":2.5200201E8,\""2\"":8.388779656E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":2.5332449995202895,\""15\"":\""1400000000\"",\""16\"":3},{\""8\"":\""3100000000\"",\""10\"":{\""1\"":1.462322,\""2\"":16.45511},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":4.10789533E8,\""2\"":1.3732414695E10},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":3.4742149991090057,\""15\"":\""2200000000\"",\""16\"":4}]}]}'""",female and male results
United Kingdom,950000000,"b'{\1\"":{\""2\"":{\""1\"":\""1727\"",\""2\"":\""1\""}},\""2\"":[{\""1\"":[{\""2\"":[6,3,4]}],\""2\"":{\""8\"":\""950000000\""},\""3\"":[14,9],\""5\"":[{\""8\"":\""950000000\"",\""10\"":{\""1\"":-1.0,\""2\"":-1.0},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":-1.0,\""2\"":-1.0},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":-1.0,\""15\"":\""-1\"",\""16\"":-2},{\""8\"":\""950000000\"",\""10\"":{\""1\"":1.0,\""2\"":1.0},\""11\"":{\""1\"":1.0,\""2\"":1.0},\""12\"":{\""1\"":0.0,\""2\"":0.0},\""13\"":{\""1\"":0.0,\""2\"":0.0},\""14\"":1.0,\""15\"":\""0\"",\""16\"":-1},{\""8\"":\""970000000\"",\""10\"":{\""1\"":1.0,\""2\"":1.401172},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":0.0,\""2\"":3.81054783E8},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.0171599992440101,\""15\"":\""16000000\"",\""16\"":0},{\""8\"":\""1400000000\"",\""10\"":{\""1\"":1.090229,\""2\"":4.539141},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":8.5704366E7,\""2\"":3.361666839E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.5147649993090306,\""15\"":\""490000000\"",\""16\"":1},{\""8\"":\""1800000000\"",\""10\"":{\""1\"":1.172402,\""2\"":6.918292},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":1.63756709E8,\""2\"":5.621512666E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.8686149990260397,\""15\"":\""830000000\"",\""16\"":2},{\""8\"":\""2400000000\"",\""10\"":{\""1\"":1.283615,\""2\"":10.44113},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":2.6939281E8,\""2\"":8.967694037E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":2.533244999466697,\""15\"":\""1500000000\"",\""16\"":3},{\""8\"":\""3300000000\"",\""10\"":{\""1\"":1.462322,\""2\"":16.45511},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":4.39138349E8,\""2\"":1.4680096322E10},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":3.474214999475793,\""15\"":\""2400000000\"",\""16\"":4}]}]}'""",female and male results
United States,7800000000,"b'{\1\"":{\""2\"":{\""1\"":\""2915\"",\""2\"":\""1\""}},\""2\"":[{\""1\"":[{\""2\"":[6,3,4]}],\""2\"":{\""8\"":\""7800000000\""},\""3\"":[14,9],\""5\"":[{\""8\"":\""7800000000\"",\""10\"":{\""1\"":-1.0,\""2\"":-1.0},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":-1.0,\""2\"":-1.0},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":-1.0,\""15\"":\""-1\"",\""16\"":-2},{\""8\"":\""7800000000\"",\""10\"":{\""1\"":1.0,\""2\"":1.0},\""11\"":{\""1\"":1.0,\""2\"":1.0},\""12\"":{\""1\"":0.0,\""2\"":0.0},\""13\"":{\""1\"":0.0,\""2\"":0.0},\""14\"":1.0,\""15\"":\""0\"",\""16\"":-1},{\""8\"":\""7900000000\"",\""10\"":{\""1\"":1.0,\""2\"":1.401172},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":0.0,\""2\"":3.110315451E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.0171599999075875,\""15\"":\""130000000\"",\""16\"":0},{\""8\"":\""12000000000\"",\""10\"":{\""1\"":1.090229,\""2\"":4.539141},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":6.99551945E8,\""2\"":2.7439215444E10},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.5147649998748987,\""15\"":\""4000000000\"",\""16\"":1},{\""8\"":\""14000000000\"",\""10\"":{\""1\"":1.172402,\""2\"":6.918292},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":1.336645141E9,\""2\"":4.588494475E10},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.8686149999403179,\""15\"":\""6700000000\"",\""16\"":2},{\""8\"":\""20000000000\"",\""10\"":{\""1\"":1.283615,\""2\"":10.44113},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":2.198887551E9,\""2\"":7.3197761859E10},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":2.5332449998845155,\""15\"":\""12000000000\"",\""16\"":3},{\""8\"":\""27000000000\"",\""10\"":{\""1\"":1.462322,\""2\"":16.45511},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":3.584415812E9,\""2\"":1.19824582576E11},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":3.4742149999768452,\""15\"":\""19000000000\"",\""16\"":4}]}]}'""",female and male results
Canada,940000000,"b'{\1\"":{\""2\"":{\""1\"":\""2160\"",\""2\"":\""1\""}},\""2\"":[{\""1\"":[{\""2\"":[6,3,4]}],\""2\"":{\""8\"":\""940000000\""},\""3\"":[14,9],\""5\"":[{\""8\"":\""940000000\"",\""10\"":{\""1\"":-1.0,\""2\"":-1.0},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":-1.0,\""2\"":-1.0},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":-1.0,\""15\"":\""-1\"",\""16\"":-2},{\""8\"":\""940000000\"",\""10\"":{\""1\"":1.0,\""2\"":1.0},\""11\"":{\""1\"":1.0,\""2\"":1.0},\""12\"":{\""1\"":0.0,\""2\"":0.0},\""13\"":{\""1\"":0.0,\""2\"":0.0},\""14\"":1.0,\""15\"":\""0\"",\""16\"":-1},{\""8\"":\""950000000\"",\""10\"":{\""1\"":1.0,\""2\"":1.401172},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":0.0,\""2\"":3.75918626E8},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.0171599996827494,\""15\"":\""16000000\"",\""16\"":0},{\""8\"":\""1400000000\"",\""10\"":{\""1\"":1.090229,\""2\"":4.539141},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":8.4549175E7,\""2\"":3.316355641E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.5147649998579373,\""15\"":\""480000000\"",\""16\"":1},{\""8\"":\""1800000000\"",\""10\"":{\""1\"":1.172402,\""2\"":6.918292},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":1.61549467E8,\""2\"":5.545741484E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":1.8686149996649914,\""15\"":\""810000000\"",\""16\"":2},{\""8\"":\""2400000000\"",\""10\"":{\""1\"":1.283615,\""2\"":10.44113},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":2.65761721E8,\""2\"":8.846820383E9},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":2.5332449991879202,\""15\"":\""1400000000\"",\""16\"":3},{\""8\"":\""3300000000\"",\""10\"":{\""1\"":1.462322,\""2\"":16.45511},\""11\"":{\""1\"":-1.0,\""2\"":-1.0},\""12\"":{\""1\"":4.33219296E8,\""2\"":1.4482226404E10},\""13\"":{\""1\"":-1.0,\""2\"":-1.0},\""14\"":3.474214999190311,\""15\"":\""2300000000\"",\""16\"":4}]}]}'""",unknown gender
