Country,Impressions,Gender
Canada,360000000,male results
United Kingdom,350000000,male results
United States,4700000000,male results
Canada,350000000,female results
United Kingdom,360000000,female results
United States,4600000000,female results
Canada,710000000,female and male results
United Kingdom,710000000,female and male results
United States,9300000000,female and male results
Canada,1600000000,unknown gender
United Kingdom,800000000,unknown gender
United States,20000000000,unknown gender
