Country,Impressions,Gender
Canada,170000000,male results
United Kingdom,340000000,male results
United States,1300000000,male results
Canada,45000000,female results
United Kingdom,110000000,female results
United States,400000000,female results
Canada,220000000,female and male results
United Kingdom,450000000,female and male results
United States,1700000000,female and male results
Canada,300000000,unknown gender
United Kingdom,470000000,unknown gender
United States,2400000000,unknown gender
