Country,Impressions,Gender
Canada,1100000000,male results
United Kingdom,900000000,male results
United States,10000000000,male results
Canada,850000000,female results
United Kingdom,610000000,female results
United States,8100000000,female results
Canada,2000000000,female and male results
United Kingdom,1500000000,female and male results
United States,18000000000,female and male results
Canada,2500000000,unknown gender
United Kingdom,1900000000,unknown gender
United States,20000000000,unknown gender
