Country,Impressions,Gender
Canada,2400000000,male results
United Kingdom,2400000000,male results
United States,16000000000,male results
Canada,2000000000,female results
United Kingdom,1400000000,female results
United States,12000000000,female results
Canada,4400000000,female and male results
United Kingdom,3700000000,female and male results
United States,28000000000,female and male results
Canada,3400000000,unknown gender
United Kingdom,4400000000,unknown gender
United States,34000000000,unknown gender
