Country,Impressions,Gender
Canada,320000000,male results
United Kingdom,460000000,male results
United States,3700000000,male results
Canada,560000000,female results
United Kingdom,780000000,female results
United States,6300000000,female results
Canada,880000000,female and male results
United Kingdom,1200000000,female and male results
United States,10000000000,female and male results
Canada,1100000000,unknown gender
United Kingdom,1000000000,unknown gender
United States,16000000000,unknown gender
