Country,Impressions,Gender
Canada,740000000,male results
United Kingdom,170000000,male results
United States,3500000000,male results
Canada,790000000,female results
United Kingdom,140000000,female results
United States,3700000000,female results
Canada,1500000000,female and male results
United Kingdom,310000000,female and male results
United States,7200000000,female and male results
Canada,2300000000,unknown gender
United Kingdom,210000000,unknown gender
United States,9500000000,unknown gender
