Country,Impressions,Gender
Canada,370000000,male results
United Kingdom,650000000,male results
United States,3000000000,male results
Canada,150000000,female results
United Kingdom,240000000,female results
United States,1400000000,female results
Canada,520000000,female and male results
United Kingdom,890000000,female and male results
United States,4400000000,female and male results
Canada,500000000,unknown gender
United Kingdom,1100000000,unknown gender
United States,4800000000,unknown gender
