Country,Impressions,Gender
Canada,1500000000,male results
United Kingdom,1800000000,male results
United States,16000000000,male results
Canada,1400000000,female results
United Kingdom,1400000000,female results
United States,16000000000,female results
Canada,2900000000,female and male results
United Kingdom,3200000000,female and male results
United States,32000000000,female and male results
Canada,3500000000,unknown gender
United Kingdom,4400000000,unknown gender
United States,39000000000,unknown gender
